title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Penyata Kewangan,radio,Jualan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,A,
,radio,Pulangan Jualan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,A,
,radio,Pulangan Masuk,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,A,
,radio,Inventori Awal,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Pulangan Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Pulangan Keluar,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Angkutan Masuk,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Upah atas Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Duti Import,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,radio,Duti Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,B,
,checkbox,Inventori Akhir,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,"B,F",
,radio,Komisen,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,C,
,radio,Sewa diterima,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,C,
,radio,Diskaun diterima,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,C,
,radio,Faedah Simpanan Tetap,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,C,
,radio,Diskaun diberi,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Alat Tulis,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Kadar Bayaran,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Gaji,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Sewa,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Faedah Pinjaman,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Upah,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,D,
,radio,Bank,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Tunai,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Akaun Belum Terima,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Simpanan Tetap,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Inventori Alat Tulis,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,F,
,radio,Akaun Belum Bayar,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,G,
,radio,Overdraf Bank,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,G,
,radio,Premis,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Kelengkapan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Kenderaan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Perabot,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Alatan Pejabat,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,E,
,radio,Ambilan,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,H,
,radio,Modal,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,H,
,radio,Untung Bersih,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,H,
,radio,Pinjaman,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,I,
,radio,Gadai Janji,Jualan Bersih,Kos Jualan,Hasil,Belanja,Aset Bukan Semasa,Aset Semasa,Liabiliti Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,I,
